E(eV),dos(E),pdos(E)
-8.646000000000000796e+00,2.769999999999999893e-02,2.769999999999999893e-02
-8.635999999999999233e+00,3.169999999999999901e-02,3.160000000000000309e-02
-8.625999999999999446e+00,3.610000000000000014e-02,3.599999999999999728e-02
-8.615999999999999659e+00,4.100000000000000172e-02,4.100000000000000172e-02
-8.605999999999999872e+00,4.649999999999999967e-02,4.649999999999999967e-02
-8.596000000000000085e+00,5.260000000000000092e-02,5.260000000000000092e-02
-8.586000000000000298e+00,5.940000000000000141e-02,5.929999999999999855e-02
-8.576000000000000512e+00,6.679999999999999827e-02,6.669999999999999540e-02
-8.566000000000000725e+00,7.499999999999999722e-02,7.489999999999999436e-02
-8.555999999999999162e+00,8.400000000000000522e-02,8.390000000000000235e-02
-8.545999999999999375e+00,9.379999999999999449e-02,9.370000000000000551e-02
-8.535999999999999588e+00,1.049999999999999961e-01,1.039999999999999952e-01
-8.525999999999999801e+00,1.160000000000000059e-01,1.160000000000000059e-01
-8.516000000000000014e+00,1.290000000000000036e-01,1.290000000000000036e-01
-8.506000000000000227e+00,1.419999999999999873e-01,1.419999999999999873e-01
-8.496000000000000441e+00,1.570000000000000007e-01,1.570000000000000007e-01
-8.486000000000000654e+00,1.729999999999999871e-01,1.729999999999999871e-01
-8.476000000000000867e+00,1.900000000000000022e-01,1.890000000000000013e-01
-8.465999999999999304e+00,2.079999999999999905e-01,2.069999999999999896e-01
-8.455999999999999517e+00,2.270000000000000073e-01,2.270000000000000073e-01
-8.445999999999999730e+00,2.469999999999999973e-01,2.469999999999999973e-01
-8.435999999999999943e+00,2.690000000000000169e-01,2.680000000000000160e-01
-8.426000000000000156e+00,2.909999999999999809e-01,2.909999999999999809e-01
-8.416000000000000369e+00,3.150000000000000022e-01,3.150000000000000022e-01
-8.406000000000000583e+00,3.400000000000000244e-01,3.400000000000000244e-01
-8.396000000000000796e+00,3.659999999999999920e-01,3.649999999999999911e-01
-8.385999999999999233e+00,3.930000000000000160e-01,3.920000000000000151e-01
-8.375999999999999446e+00,4.209999999999999853e-01,4.209999999999999853e-01
-8.365999999999999659e+00,4.500000000000000111e-01,4.490000000000000102e-01
-8.355999999999999872e+00,4.799999999999999822e-01,4.789999999999999813e-01
-8.346000000000000085e+00,5.100000000000000089e-01,5.100000000000000089e-01
-8.336000000000000298e+00,5.420000000000000373e-01,5.410000000000000364e-01
-8.326000000000000512e+00,5.739999999999999547e-01,5.729999999999999538e-01
-8.316000000000000725e+00,6.059999999999999831e-01,6.049999999999999822e-01
-8.305999999999999162e+00,6.390000000000000124e-01,6.380000000000000115e-01
-8.295999999999999375e+00,6.720000000000000417e-01,6.710000000000000409e-01
-8.285999999999999588e+00,7.049999999999999600e-01,7.039999999999999591e-01
-8.275999999999999801e+00,7.379999999999999893e-01,7.369999999999999885e-01
-8.266000000000000014e+00,7.710000000000000187e-01,7.700000000000000178e-01
-8.256000000000000227e+00,8.040000000000000480e-01,8.030000000000000471e-01
-8.246000000000000441e+00,8.359999999999999654e-01,8.349999999999999645e-01
-8.236000000000000654e+00,8.679999999999999938e-01,8.669999999999999929e-01
-8.226000000000000867e+00,8.990000000000000213e-01,8.980000000000000204e-01
-8.215999999999999304e+00,9.300000000000000488e-01,9.290000000000000480e-01
-8.205999999999999517e+00,9.589999999999999636e-01,9.579999999999999627e-01
-8.195999999999999730e+00,9.869999999999999885e-01,9.859999999999999876e-01
-8.185999999999999943e+00,1.010000000000000009e+00,1.010000000000000009e+00
-8.176000000000000156e+00,1.040000000000000036e+00,1.040000000000000036e+00
-8.166000000000000369e+00,1.060000000000000053e+00,1.060000000000000053e+00
-8.156000000000000583e+00,1.090000000000000080e+00,1.090000000000000080e+00
-8.146000000000000796e+00,1.110000000000000098e+00,1.110000000000000098e+00
-8.135999999999999233e+00,1.129999999999999893e+00,1.129999999999999893e+00
-8.125999999999999446e+00,1.149999999999999911e+00,1.139999999999999902e+00
-8.115999999999999659e+00,1.159999999999999920e+00,1.159999999999999920e+00
-8.105999999999999872e+00,1.179999999999999938e+00,1.169999999999999929e+00
-8.096000000000000085e+00,1.189999999999999947e+00,1.189999999999999947e+00
-8.086000000000000298e+00,1.199999999999999956e+00,1.199999999999999956e+00
-8.076000000000000512e+00,1.209999999999999964e+00,1.209999999999999964e+00
-8.066000000000000725e+00,1.219999999999999973e+00,1.209999999999999964e+00
-8.055999999999999162e+00,1.219999999999999973e+00,1.219999999999999973e+00
-8.045999999999999375e+00,1.219999999999999973e+00,1.219999999999999973e+00
-8.035999999999999588e+00,1.229999999999999982e+00,1.229999999999999982e+00
-8.025999999999999801e+00,1.229999999999999982e+00,1.229999999999999982e+00
-8.016000000000000014e+00,1.229999999999999982e+00,1.219999999999999973e+00
-8.006000000000000227e+00,1.219999999999999973e+00,1.219999999999999973e+00
-7.996000000000000441e+00,1.219999999999999973e+00,1.219999999999999973e+00
-7.985999999999999766e+00,1.219999999999999973e+00,1.209999999999999964e+00
-7.975999999999999979e+00,1.209999999999999964e+00,1.209999999999999964e+00
-7.966000000000000192e+00,1.199999999999999956e+00,1.199999999999999956e+00
-7.956000000000000405e+00,1.189999999999999947e+00,1.189999999999999947e+00
-7.945999999999999730e+00,1.189999999999999947e+00,1.179999999999999938e+00
-7.935999999999999943e+00,1.179999999999999938e+00,1.169999999999999929e+00
-7.926000000000000156e+00,1.169999999999999929e+00,1.159999999999999920e+00
-7.916000000000000369e+00,1.159999999999999920e+00,1.149999999999999911e+00
-7.905999999999999694e+00,1.149999999999999911e+00,1.139999999999999902e+00
-7.895999999999999908e+00,1.129999999999999893e+00,1.129999999999999893e+00
-7.886000000000000121e+00,1.120000000000000107e+00,1.120000000000000107e+00
-7.876000000000000334e+00,1.110000000000000098e+00,1.110000000000000098e+00
-7.865999999999999659e+00,1.100000000000000089e+00,1.100000000000000089e+00
-7.855999999999999872e+00,1.090000000000000080e+00,1.090000000000000080e+00
-7.846000000000000085e+00,1.080000000000000071e+00,1.080000000000000071e+00
-7.836000000000000298e+00,1.080000000000000071e+00,1.070000000000000062e+00
-7.825999999999999623e+00,1.070000000000000062e+00,1.070000000000000062e+00
-7.815999999999999837e+00,1.060000000000000053e+00,1.060000000000000053e+00
-7.806000000000000050e+00,1.050000000000000044e+00,1.050000000000000044e+00
-7.796000000000000263e+00,1.050000000000000044e+00,1.050000000000000044e+00
-7.785999999999999588e+00,1.040000000000000036e+00,1.040000000000000036e+00
-7.775999999999999801e+00,1.040000000000000036e+00,1.040000000000000036e+00
-7.766000000000000014e+00,1.040000000000000036e+00,1.040000000000000036e+00
-7.756000000000000227e+00,1.040000000000000036e+00,1.040000000000000036e+00
-7.746000000000000441e+00,1.040000000000000036e+00,1.040000000000000036e+00
-7.735999999999999766e+00,1.040000000000000036e+00,1.040000000000000036e+00
-7.725999999999999979e+00,1.050000000000000044e+00,1.050000000000000044e+00
-7.716000000000000192e+00,1.050000000000000044e+00,1.050000000000000044e+00
-7.706000000000000405e+00,1.060000000000000053e+00,1.060000000000000053e+00
-7.695999999999999730e+00,1.070000000000000062e+00,1.070000000000000062e+00
-7.685999999999999943e+00,1.090000000000000080e+00,1.080000000000000071e+00
-7.676000000000000156e+00,1.100000000000000089e+00,1.100000000000000089e+00
-7.666000000000000369e+00,1.120000000000000107e+00,1.110000000000000098e+00
-7.655999999999999694e+00,1.129999999999999893e+00,1.129999999999999893e+00
-7.645999999999999908e+00,1.159999999999999920e+00,1.149999999999999911e+00
-7.636000000000000121e+00,1.179999999999999938e+00,1.179999999999999938e+00
-7.626000000000000334e+00,1.199999999999999956e+00,1.199999999999999956e+00
-7.615999999999999659e+00,1.229999999999999982e+00,1.229999999999999982e+00
-7.605999999999999872e+00,1.260000000000000009e+00,1.260000000000000009e+00
-7.596000000000000085e+00,1.300000000000000044e+00,1.290000000000000036e+00
-7.586000000000000298e+00,1.330000000000000071e+00,1.330000000000000071e+00
-7.575999999999999623e+00,1.370000000000000107e+00,1.370000000000000107e+00
-7.565999999999999837e+00,1.409999999999999920e+00,1.409999999999999920e+00
-7.556000000000000050e+00,1.449999999999999956e+00,1.449999999999999956e+00
-7.546000000000000263e+00,1.489999999999999991e+00,1.489999999999999991e+00
-7.535999999999999588e+00,1.540000000000000036e+00,1.540000000000000036e+00
-7.525999999999999801e+00,1.590000000000000080e+00,1.590000000000000080e+00
-7.516000000000000014e+00,1.639999999999999902e+00,1.639999999999999902e+00
-7.506000000000000227e+00,1.699999999999999956e+00,1.689999999999999947e+00
-7.496000000000000441e+00,1.750000000000000000e+00,1.750000000000000000e+00
-7.485999999999999766e+00,1.810000000000000053e+00,1.810000000000000053e+00
-7.475999999999999979e+00,1.870000000000000107e+00,1.870000000000000107e+00
-7.466000000000000192e+00,1.929999999999999938e+00,1.929999999999999938e+00
-7.456000000000000405e+00,1.989999999999999991e+00,1.989999999999999991e+00
-7.445999999999999730e+00,2.060000000000000053e+00,2.060000000000000053e+00
-7.435999999999999943e+00,2.129999999999999893e+00,2.120000000000000107e+00
-7.426000000000000156e+00,2.189999999999999947e+00,2.189999999999999947e+00
-7.416000000000000369e+00,2.259999999999999787e+00,2.259999999999999787e+00
-7.405999999999999694e+00,2.330000000000000071e+00,2.319999999999999840e+00
-7.395999999999999908e+00,2.399999999999999911e+00,2.390000000000000124e+00
-7.386000000000000121e+00,2.470000000000000195e+00,2.459999999999999964e+00
-7.376000000000000334e+00,2.540000000000000036e+00,2.529999999999999805e+00
-7.365999999999999659e+00,2.609999999999999876e+00,2.600000000000000089e+00
-7.355999999999999872e+00,2.680000000000000160e+00,2.669999999999999929e+00
-7.346000000000000085e+00,2.750000000000000000e+00,2.740000000000000213e+00
-7.336000000000000298e+00,2.810000000000000053e+00,2.810000000000000053e+00
-7.325999999999999623e+00,2.879999999999999893e+00,2.879999999999999893e+00
-7.315999999999999837e+00,2.950000000000000178e+00,2.939999999999999947e+00
-7.306000000000000050e+00,3.009999999999999787e+00,3.009999999999999787e+00
-7.296000000000000263e+00,3.069999999999999840e+00,3.069999999999999840e+00
-7.285999999999999588e+00,3.129999999999999893e+00,3.129999999999999893e+00
-7.275999999999999801e+00,3.189999999999999947e+00,3.189999999999999947e+00
-7.266000000000000014e+00,3.250000000000000000e+00,3.250000000000000000e+00
-7.256000000000000227e+00,3.310000000000000053e+00,3.299999999999999822e+00
-7.246000000000000441e+00,3.359999999999999876e+00,3.350000000000000089e+00
